postnummer,NDI,NDI_rank
11120,.438701,.71659166
11121,1.7709657,.96116221
11122,1.1064435,.87898648
11123,1.5937717,.94482487
11124,1.4226029,.92672664
11127,1.4900063,.93435729
11128,2.3990779,.99119544
11129,.95226747,.84983367
11130,1.5722299,.94286835
11131,.97889209,.85521424
11134,2.0208459,.97759736
11136,1.5465349,.94022697
11137,1.4675654,.9313246
11138,.90331018,.83975738
11139,1.9424882,.97260809
11140,1.8810934,.96898848
11144,1.2771065,.90735668
11145,2.8049767,.99696732
11147,1.5659657,.94257486
11149,1.4269053,.92721581
11151,-2.2499459,.016630797
11152,1.8979828,.97016239
11153,-.13925159,.46747211
11156,-.048138641,.50821757
11157,1.2600142,.90491098
11160,1.0108337,.86176872
11161,2.0281873,.97789085
11164,1.7741259,.96165133
11214,-.81607008,.19624339
11215,2.399554,.99129331
11216,2.1705534,.98288006
11217,.79758084,.81784385
11218,2.3109422,.98904324
11219,2.2501476,.98669535
11220,2.1876488,.98336923
11221,1.877103,.9684993
11222,1.2289686,.90148699
11223,1.4924161,.93465078
11224,1.7846498,.9621405
11225,1.6271448,.94775975
11226,1.8276166,.96536881
11227,1.7410555,.95891213
11228,1.8693655,.96781451
11229,2.2262754,.98542362
11230,1.5545402,.94140089
11231,1.4911191,.9344551
11232,1.9640878,.97387987
11233,1.7085351,.95568383
11234,1.2787951,.90755236
11235,1.9738659,.97476029
11236,1.4713248,.93181372
11237,1.8908937,.96957541
11238,1.5973855,.94550967
11239,1.9355967,.9723146
11240,1.7163888,.95666212
11241,1.8571748,.9667384
11242,1.4175421,.92643321
11243,1.4311119,.92770493
11244,1.4100634,.92613971
11245,1.0997851,.87712777
11246,1.7468791,.95949912
11247,1.6764541,.95274895
11248,1.564371,.94247699
11249,1.6442635,.94952065
11250,.74908412,.80600667
11251,2.4847784,.99276072
11252,1.1846572,.89444333
11253,1.5842637,.94384658
11254,1.5964255,.94521618
11255,1.810761,.96429271
11256,1.7044723,.95539033
11257,.86325723,.8303659
11258,1.1205078,.88153005
11259,1.1577216,.88994324
11260,1.4973245,.93523771
11261,1.0008097,.85961652
11262,1.591861,.94472706
11263,1.147433,.88749754
11264,1.9506693,.97299939
11265,1.7299806,.95754254
11266,1.3348444,.91576993
11267,2.2612364,.98738015
11269,2.2746067,.98796713
11320,1.5355715,.93846607
11321,1.7445074,.95920563
11322,1.7502776,.95989043
